timestamp,open,high,low,close,volume
2021:05:01 14:00:00,57613.1,57681.0,57220.67,57430.78,1778.7568
2021:05:01 15:00:00,57430.79,57500.0,56956.14,57356.58,2104.6135
2021:05:01 16:00:00,57356.59,57712.69,57218.0,57495.59,1801.1797
2021:05:01 17:00:00,57495.6,57767.0,57492.78,57569.99,1620.8732
2021:05:01 18:00:00,57567.34,57650.0,57400.35,57610.52,1179.3485
2021:05:01 19:00:00,57610.51,57998.97,57444.03,57770.31,1757.3555
2021:05:01 20:00:00,57770.32,57877.39,57641.5,57679.99,1187.4935
2021:05:01 21:00:00,57680.0,57690.0,57372.01,57451.58,1247.7522
2021:05:01 22:00:00,57451.57,57716.27,57243.65,57657.75,1203.54
2021:05:01 23:00:00,57660.31,57939.0,57580.7,57800.37,1209.306
2021:05:02 00:00:00,57797.35,57911.02,57371.12,57442.25,1595.8636
2021:05:02 01:00:00,57442.25,57488.04,57275.0,57415.6,1386.9128
2021:05:02 02:00:00,57415.6,57700.0,57415.6,57650.0,819.2908
2021:05:02 03:00:00,57650.0,57694.99,56323.66,56450.19,3407.9192
2021:05:02 04:00:00,56450.19,56930.98,56171.31,56905.68,2786.087
2021:05:02 05:00:00,56905.68,57129.0,56612.29,56902.07,1189.1798
2021:05:02 06:00:00,56902.07,57034.19,56686.0,56879.99,785.4717
2021:05:02 07:00:00,56881.33,56988.0,56404.31,56633.02,1376.8348
2021:05:02 08:00:00,56633.03,56766.63,56156.0,56525.23,1700.1132
2021:05:02 09:00:00,56525.23,56650.0,56035.25,56450.0,2403.8584
2021:05:02 10:00:00,56450.0,57000.0,56385.16,56831.67,1903.1195
2021:05:02 11:00:00,56831.67,57090.0,56543.25,57090.0,1173.2689
2021:05:02 12:00:00,57090.0,57286.96,56700.01,56839.66,1644.715
2021:05:02 13:00:00,56839.66,56903.74,56451.01,56679.85,1194.6605
2021:05:02 14:00:00,56680.84,56999.0,56660.0,56823.52,1150.5057
2021:05:02 15:00:00,56823.51,56846.92,56231.55,56595.2,1984.9963
2021:05:02 16:00:00,56595.2,56777.0,56317.59,56557.8,1409.127
2021:05:02 17:00:00,56557.81,56843.78,56468.63,56779.99,1123.4541
2021:05:02 18:00:00,56780.0,56899.99,56700.0,56840.45,1163.8558
2021:05:02 19:00:00,56840.44,56968.56,56546.47,56836.4,1320.4951
2021:05:02 20:00:00,56836.39,57000.0,56666.67,56994.0,1154.0214
2021:05:02 21:00:00,56994.99,57141.05,56615.05,56649.99,1628.9387
2021:05:02 22:00:00,56649.98,56745.7,56212.0,56382.1,1696.692
2021:05:02 23:00:00,56382.1,56600.5,56309.32,56578.21,813.49725
2021:05:03 00:00:00,56578.21,57600.0,56525.0,57407.86,2646.729
2021:05:03 01:00:00,57407.85,58289.99,57359.28,58042.82,2551.4832
2021:05:03 02:00:00,58042.83,58249.99,57850.23,58060.48,1823.3622
2021:05:03 03:00:00,58060.48,58240.69,57768.67,57925.8,2374.7168
2021:05:03 04:00:00,57925.79,58044.09,57696.7,57820.64,1382.128
2021:05:03 05:00:00,57820.64,58110.0,57794.17,57938.86,2038.5474
2021:05:03 06:00:00,57938.86,58049.83,57860.02,57945.55,1706.1575
2021:05:03 07:00:00,57945.55,58848.0,57814.34,58787.87,4220.139
2021:05:03 08:00:00,58787.88,58981.44,58617.0,58764.07,2633.3252
2021:05:03 09:00:00,58764.08,58804.45,58277.12,58409.73,2782.8613
2021:05:03 10:00:00,58409.91,58620.87,58344.97,58467.42,1876.0167
2021:05:03 11:00:00,58467.42,58965.19,58464.44,58657.63,2075.951
2021:05:03 12:00:00,58657.64,58770.0,58293.49,58558.27,1868.0531
2021:05:03 13:00:00,58558.26,58645.09,57260.0,57697.33,3671.8577
2021:05:03 14:00:00,57696.52,58199.0,57600.0,57777.33,2873.9873
2021:05:03 15:00:00,57777.33,58020.21,57379.57,57601.83,2821.8357
2021:05:03 16:00:00,57603.33,57957.1,57169.0,57693.73,2868.9712
2021:05:03 17:00:00,57693.98,58170.0,57579.26,57958.6,2153.6545
2021:05:03 18:00:00,57958.6,58084.6,57745.9,57764.42,1840.5477
2021:05:03 19:00:00,57764.42,57764.43,57326.01,57564.87,1904.07
2021:05:03 20:00:00,57564.86,57575.05,56602.73,56783.94,3198.868
2021:05:03 21:00:00,56783.93,57163.26,56435.0,57110.25,2158.0188
2021:05:03 22:00:00,57110.24,57421.61,56723.01,57292.88,2249.035
2021:05:03 23:00:00,57292.88,57457.12,56885.92,57169.39,1929.6151
2021:05:04 00:00:00,57169.39,57200.0,54580.0,55291.71,6665.0845
2021:05:04 01:00:00,55294.47,55846.68,55100.0,55682.71,4610.9478
2021:05:04 02:00:00,55682.71,56012.49,55447.73,55695.16,3115.8909
2021:05:04 03:00:00,55695.15,55959.79,55231.27,55452.17,2585.975
2021:05:04 04:00:00,55452.16,55906.15,55122.0,55809.45,2356.6035
2021:05:04 05:00:00,55809.45,56291.37,55766.01,55988.95,2088.2407
2021:05:04 06:00:00,55988.95,56169.0,55851.25,56070.62,1916.6497
2021:05:04 07:00:00,56070.62,56361.82,55853.66,55917.97,2157.3774
2021:05:04 08:00:00,55917.98,56020.0,55555.0,55739.99,2839.9758
2021:05:04 09:00:00,55740.33,56399.68,55740.33,56077.57,2579.5664
